base_scenario,n_replicates,pooled_t_zone_deaths_k,pooled_total_deaths_n,t_zone_area_fraction_p0,pooled_t_zone_fraction,pooled_t_zone_density_ratio,pooled_binomial_p_value_greater,bonferroni_alpha,bonferroni_adjusted_p_value,significant_after_bonferroni_0p05
deathERK_ld0p5_bdR4p0_bdT1p6,5,3321,5000,0.4444444444444445,0.6642,2.4724538415723645,9.063943486364355e-215,0.001851851851851852,2.447264741318376e-213,True
deathERK_ld0p5_bdR4p0_bdT0p8,5,3262,5000,0.4444444444444445,0.6524,2.3460874568469503,3.093343591871012e-192,0.001851851851851852,8.352027698051732e-191,True
deathERK_ld0p5_bdR2p0_bdT1p6,5,3232,5000,0.4444444444444445,0.6464,2.2850678733031673,2.727850429280248e-181,0.001851851851851852,7.36519615905667e-180,True
deathERK_ld1p0_bdR4p0_bdT1p6,5,3231,5000,0.4444444444444445,0.6462,2.283069530808366,6.234033699586403e-181,0.001851851851851852,1.683189098888329e-179,True
deathERK_ld0p5_bdR1p0_bdT1p6,5,3224,5000,0.4444444444444445,0.6448,2.269144144144144,1.9805704364640588e-178,0.001851851851851852,5.3475401784529585e-177,True
deathERK_ld0p5_bdR4p0_bdT0p4,5,3204,5000,0.4444444444444445,0.6408,2.229955456570156,2.2042849155111976e-171,0.001851851851851852,5.9515692718802335e-170,True
deathERK_ld0p5_bdR2p0_bdT0p4,5,3170,5000,0.4444444444444445,0.634,2.165300546448087,9.477720972910546e-160,0.001851851851851852,2.5589846626858473e-158,True
deathERK_ld1p0_bdR2p0_bdT0p8,5,3165,5000,0.4444444444444445,0.633,2.1559945504087192,4.476868699648319e-158,0.001851851851851852,1.2087545489050463e-156,True
deathERK_ld1p0_bdR4p0_bdT0p8,5,3158,5000,0.4444444444444445,0.6316,2.1430510314875133,9.533977814636823e-156,0.001851851851851852,2.5741740099519423e-154,True
deathERK_ld2p0_bdR4p0_bdT0p8,5,3157,5000,0.4444444444444445,0.6314,2.141209983722192,2.0436036146517974e-155,0.001851851851851852,5.517729759559853e-154,True
deathERK_ld0p5_bdR1p0_bdT0p8,5,3146,5000,0.4444444444444445,0.6292,2.1210895361380797,8.475523063047791e-152,0.001851851851851852,2.2883912270229035e-150,True
deathERK_ld1p0_bdR1p0_bdT0p8,5,3128,5000,0.4444444444444445,0.6256,2.0886752136752134,5.638679151761466e-146,0.001851851851851852,1.5224433709755957e-144,True
deathERK_ld2p0_bdR2p0_bdT1p6,5,3128,5000,0.4444444444444445,0.6256,2.0886752136752134,5.638679151761466e-146,0.001851851851851852,1.5224433709755957e-144,True
deathERK_ld0p5_bdR2p0_bdT0p8,5,3122,5000,0.4444444444444445,0.6244,2.0780085197018106,4.629115785852895e-144,0.001851851851851852,1.2498612621802816e-142,True
deathERK_ld1p0_bdR4p0_bdT0p4,5,3119,5000,0.4444444444444445,0.6238,2.0727006911217436,4.146342058956414e-143,0.001851851851851852,1.1195123559182318e-141,True
deathERK_ld1p0_bdR2p0_bdT0p4,5,3101,5000,0.4444444444444445,0.6202,2.041205897840969,1.8234611338941814e-137,0.001851851851851852,4.92334506151429e-136,True
deathERK_ld2p0_bdR4p0_bdT0p4,5,3099,5000,0.4444444444444445,0.6198,2.037743293003682,7.595405626216177e-137,0.001851851851851852,2.0507595190783678e-135,True
deathERK_ld1p0_bdR1p0_bdT1p6,5,3089,5000,0.4444444444444445,0.6178,2.020538984824699,9.052228167693944e-134,0.001851851851851852,2.444101605277365e-132,True
deathERK_ld1p0_bdR2p0_bdT1p6,5,3070,5000,0.4444444444444445,0.614,1.9883419689119168,5.016825401486017e-128,0.001851851851851852,1.3545428584012247e-126,True
deathERK_ld2p0_bdR4p0_bdT1p6,5,3066,5000,0.4444444444444445,0.6132,1.981644260599793,7.812274128938895e-127,0.001851851851851852,2.1093140148135015e-125,True
deathERK_ld2p0_bdR1p0_bdT1p6,5,3031,5000,0.4444444444444445,0.6062,1.924200101574403,1.193495666345164e-116,0.001851851851851852,3.2224382991319427e-115,True
deathERK_ld2p0_bdR2p0_bdT0p8,5,3017,5000,0.4444444444444445,0.6034,1.9017902168431668,1.0609898456491264e-112,0.001851851851851852,2.864672583252641e-111,True
deathERK_ld2p0_bdR1p0_bdT0p8,5,3016,5000,0.4444444444444445,0.6032,1.9002016129032258,2.0186260444589246e-112,0.001851851851851852,5.4502903200390966e-111,True
deathERK_ld0p5_bdR1p0_bdT0p4,5,2984,5000,0.4444444444444445,0.5968,1.8501984126984126,1.130308216085247e-103,0.001851851851851852,3.051832183430167e-102,True
deathERK_ld1p0_bdR1p0_bdT0p4,5,2983,5000,0.4444444444444445,0.5966,1.8486613782845809,2.0922937498654108e-103,0.001851851851851852,5.649193124636609e-102,True
deathERK_ld2p0_bdR2p0_bdT0p4,5,2979,5000,0.4444444444444445,0.5958,1.8425284512617515,2.4362675800008348e-102,0.001851851851851852,6.577922466002254e-101,True
deathERK_ld2p0_bdR1p0_bdT0p4,5,2871,5000,0.4444444444444445,0.5742,1.6856505401596995,1.015159305057997e-75,0.001851851851851852,2.7409301236565916e-74,True
